Side,Total Score,Turn Score
Player 2,1400,250
Player 2,1650,400
Player 2,2050,300
Player 2,2350,650
Player 2,3000,650
Player 2,3650,750
Player 2,4400,600
Player 2,5000,300
Player 2,5300,1100
Player 2,6400,0
Player 2,6400,250
Player 2,6650,1000
Player 2,7650,1100
Player 2,8750,0
Player 2,8750,300
Player 2,9050,200
Player 2,9250,250
Player 2,9500,250
Player 1,0,0
Player 1,0,950
Player 1,950,400
Player 1,1350,350
Player 1,1700,400
Player 1,2100,1000
Player 1,3100,550
Player 1,3650,1000
Player 1,4650,300
Player 1,4950,350
Player 1,5300,1000
Player 1,6300,1200
Player 1,7500,450
Player 1,7950,0
Player 1,7950,450
Player 1,8400,750
Player 1,9150,0
